caso;costemedioobtenido;desv;tiempo
GKD-b_1_n25_m2;0,0000;0,00;1,22E-05
GKD-b_2_n25_m2;0,0000;0,00;1,36E-05
GKD-b_3_n25_m2;0,0000;0,00;1,31E-05
GKD-b_4_n25_m2;0,0000;0,00;1,17E-05
GKD-b_5_n25_m2;0,0000;0,00;1,14E-05
GKD-b_6_n25_m7;70,9064;58,19;5,11E-05
GKD-b_7_n25_m7;57,0336;42,93;4,77E-05
GKD-b_8_n25_m7;44,6512;27,89;5,08E-05
GKD-b_9_n25_m7;57,4252;40,36;5,40E-05
GKD-b_10_n25_m7;73,3526;50,09;5,98E-05
GKD-b_11_n50_m5;20,9113;18,99;6,85E-05
GKD-b_12_n50_m5;25,0564;22,94;7,73E-05
GKD-b_13_n50_m5;24,8575;22,50;8,35E-05
GKD-b_14_n50_m5;30,4310;28,77;8,29E-05
GKD-b_15_n50_m5;39,1907;36,34;8,00E-05
GKD-b_16_n50_m15;158,8222;116,08;4,10E-04
GKD-b_17_n50_m15;150,3960;102,29;4,11E-04
GKD-b_18_n50_m15;156,8830;113,69;4,32E-04
GKD-b_19_n50_m15;151,8338;105,42;3,96E-04
GKD-b_20_n50_m15;145,6224;97,91;3,48E-04
GKD-b_21_n100_m10;78,0183;64,19;3,79E-04
GKD-b_22_n100_m10;76,9076;63,24;3,50E-04
GKD-b_23_n100_m10;81,3711;66,03;3,44E-04
GKD-b_24_n100_m10;79,6570;71,02;3,68E-04
GKD-b_25_n100_m10;56,6460;39,45;3,43E-04
GKD-b_26_n100_m30;377,4836;208,75;1,98E-03
GKD-b_27_n100_m30;446,3368;319,24;2,08E-03
GKD-b_28_n100_m30;384,7054;278,33;2,01E-03
GKD-b_29_n100_m30;273,4050;135,95;1,98E-03
GKD-b_30_n100_m30;393,1588;265,68;2,08E-03
GKD-b_31_n125_m12;70,1099;58,36;5,46E-04
GKD-b_32_n125_m12;89,5372;70,75;5,56E-04
GKD-b_33_n125_m12;88,0445;69,51;5,52E-04
GKD-b_34_n125_m12;73,3446;53,86;6,36E-04
GKD-b_35_n125_m12;95,3074;77,19;6,45E-04
GKD-b_36_n125_m37;468,0492;312,61;3,97E-03
GKD-b_37_n125_m37;500,5334;301,64;4,27E-03
GKD-b_38_n125_m37;553,3864;365,42;4,17E-03
GKD-b_39_n125_m37;479,3044;310,71;4,37E-03
GKD-b_40_n125_m37;501,5562;323,36;4,25E-03
GKD-b_41_n150_m15;113,3785;90,03;1,14E-03
GKD-b_42_n150_m15;144,4201;117,63;1,09E-03
GKD-b_43_n150_m15;116,8756;90,12;1,05E-03
GKD-b_44_n150_m15;109,1999;83,26;1,04E-03
GKD-b_45_n150_m15;102,7905;75,02;1,01E-03
GKD-b_46_n150_m45;637,9208;410,17;6,46E-03
GKD-b_47_n150_m45;477,0816;248,48;6,39E-03
GKD-b_48_n150_m45;609,1548;382,41;6,57E-03
GKD-b_49_n150_m45;639,2372;412,83;6,60E-03
GKD-b_50_n150_m45;471,5032;222,65;6,38E-03
