Caso;Coste medio obtenido;Desv;Tiempo
GKD-b_1_n25_m2;0,0000;0,00;1,86E-05
GKD-b_2_n25_m2;0,0000;0,00;1,70E-05
GKD-b_3_n25_m2;0,0000;0,00;1,89E-05
GKD-b_4_n25_m2;0,0000;0,00;1,76E-05
GKD-b_5_n25_m2;0,0000;0,00;1,72E-05
GKD-b_6_n25_m7;30,5731;17,86;2,73E-04
GKD-b_7_n25_m7;27,2974;13,20;2,16E-04
GKD-b_8_n25_m7;42,2687;25,51;2,41E-04
GKD-b_9_n25_m7;40,2675;23,20;2,42E-04
GKD-b_10_n25_m7;45,7940;22,53;2,23E-04
GKD-b_11_n50_m5;15,5196;13,59;2,80E-04
GKD-b_12_n50_m5;11,3000;9,18;2,35E-04
GKD-b_13_n50_m5;13,1555;10,79;2,84E-04
GKD-b_14_n50_m5;21,0886;19,43;2,26E-04
GKD-b_15_n50_m5;17,2445;14,39;2,65E-04
GKD-b_16_n50_m15;100,7846;58,04;2,99E-03
GKD-b_17_n50_m15;115,8601;67,75;3,04E-03
GKD-b_18_n50_m15;87,7141;44,52;2,18E-03
GKD-b_19_n50_m15;110,8314;64,42;2,26E-03
GKD-b_20_n50_m15;112,7244;65,01;2,84E-03
GKD-b_21_n100_m10;33,8073;19,98;2,09E-03
GKD-b_22_n100_m10;47,3694;33,71;1,76E-03
GKD-b_23_n100_m10;38,7309;23,39;1,94E-03
GKD-b_24_n100_m10;37,8747;29,23;2,02E-03
GKD-b_25_n100_m10;36,5649;19,36;1,96E-03
GKD-b_26_n100_m30;383,0796;214,35;1,40E-02
GKD-b_27_n100_m30;319,3224;192,23;2,10E-02
GKD-b_28_n100_m30;259,7818;153,40;2,38E-02
GKD-b_29_n100_m30;290,5872;153,13;2,09E-02
GKD-b_30_n100_m30;303,7936;176,31;1,95E-02
GKD-b_31_n125_m12;48,1569;36,41;3,34E-03
GKD-b_32_n125_m12;47,2372;28,45;3,30E-03
GKD-b_33_n125_m12;43,2685;24,74;3,68E-03
GKD-b_34_n125_m12;48,4522;28,96;3,77E-03
GKD-b_35_n125_m12;57,8748;39,76;3,19E-03
GKD-b_36_n125_m37;341,0166;185,58;4,36E-02
GKD-b_37_n125_m37;524,9386;326,04;4,93E-02
GKD-b_38_n125_m37;514,5118;326,54;4,93E-02
GKD-b_39_n125_m37;352,4736;183,88;2,90E-02
GKD-b_40_n125_m37;388,1836;209,99;3,89E-02
GKD-b_41_n150_m15;66,5911;43,25;7,64E-03
GKD-b_42_n150_m15;72,0939;45,30;9,57E-03
GKD-b_43_n150_m15;75,4758;48,72;1,07E-02
GKD-b_44_n150_m15;68,2100;42,27;7,63E-03
GKD-b_45_n150_m15;68,9531;41,18;6,29E-03
GKD-b_46_n150_m45;529,0926;301,34;9,12E-02
GKD-b_47_n150_m45;393,5756;164,97;7,03E-02
GKD-b_48_n150_m45;485,8222;259,08;8,67E-02
GKD-b_49_n150_m45;504,2588;277,85;6,70E-02
GKD-b_50_n150_m45;513,8540;265,00;7,62E-02
